symbol,signal,confidence,confidence_score,risk_label,current_price,allocation_pct,shares,total_cost,stop_loss_price,stop_loss_distance_pct,risk_per_trade_dollars,risk_per_trade_pct
WMT,bullish,MEDIUM,0.399,Low Risk,107.73,10.77,10,1077.3,103.0,4.39,47.30000000000004,1.75
MSFT,bearish,MEDIUM,0.424,Low Risk,513.58,10.27,2,1027.16,496.46,3.33,34.24000000000012,1.2
CVX,bearish,MEDIUM,0.335,Low Risk,153.08,9.18,6,918.48,147.61,3.57,32.81999999999999,1.2
JPM,bearish,MEDIUM,0.454,Low Risk,297.56,8.93,3,892.6800000000001,282.61,5.02,44.849999999999966,1.94
PFE,bearish,MEDIUM,0.37,Medium Risk,24.51,8.33,34,833.34,22.98,6.23,52.02000000000004,1.82
GS,bearish,MEDIUM,0.466,Low Risk,750.77,7.51,1,750.77,705.51,6.03,45.25999999999999,1.81
MA,bearish,MEDIUM,0.36,Low Risk,560.97,5.61,1,560.97,538.93,3.93,22.040000000000077,1.32
NKE,bearish,MEDIUM,0.248,Medium Risk,67.37,4.72,7,471.59000000000003,62.72,6.9,32.55000000000004,1.26
NVDA,bearish,MEDIUM,0.186,Medium Risk,183.22,3.66,2,366.44,171.29,6.51,23.860000000000014,0.84
AAPL,bearish,MEDIUM,0.214,Medium Risk,252.29,2.52,1,252.29,242.97,3.69,9.319999999999993,0.56
GOOGL,bearish,MEDIUM,0.071,Medium Risk,253.3,0.0,0,0.0,241.33,4.72,0.0,0.24
META,bearish,MEDIUM,0.234,Medium Risk,716.91,0.0,0,0.0,680.39,5.09,0.0,0.73
