symbol,date,overall_signal,confidence,confidence_score,agreement,rsi_signal,rsi_strength,macd_signal,macd_strength,sma_signal,sma_strength,news_sentiment,news_count,close_price
META,2025-10-21 00:00:00-04:00,bullish,MEDIUM,0.129,2/3,neutral,0.0,bullish,0.28,bullish,0.027,,0,733.27
UPS,2025-10-21 00:00:00-04:00,bullish,MEDIUM,0.381,2/3,bearish,0.264,bullish,1.0,bullish,0.09,,0,88.06
BMY,2025-10-21 00:00:00-04:00,bullish,HIGH,0.165,3/3,bullish,0.42,bullish,0.056,bullish,0.018,,0,44.54
SCHW,2025-10-21 00:00:00-04:00,bullish,MEDIUM,0.432,2/3,bearish,0.24,bullish,1.0,bullish,0.028,,0,95.09
PFE,2025-10-21 00:00:00-04:00,bearish,MEDIUM,0.432,2/3,bullish,0.274,bearish,1.0,bearish,0.029,,0,24.85
PG,2025-10-21 00:00:00-04:00,bullish,MEDIUM,0.097,2/3,neutral,0.0,bullish,0.225,bullish,0.007,,0,151.62
MCD,2025-10-21 00:00:00-04:00,bullish,MEDIUM,0.44,2/3,bearish,0.214,bullish,1.0,bullish,0.047,,0,307.48
AMD,2025-10-21 00:00:00-04:00,bullish,LOW,0.246,2/3,bearish,0.205,bullish,0.17,bullish,1.0,,0,238.03
NKE,2025-10-21 00:00:00-04:00,bullish,MEDIUM,0.139,2/3,bullish,0.387,bullish,0.01,bearish,0.6,,0,68.36
TMO,2025-10-21 00:00:00-04:00,bullish,MEDIUM,0.301,2/3,bearish,0.379,bullish,0.118,bullish,0.6,,0,557.99
QCOM,2025-10-21 00:00:00-04:00,neutral,LOW,0.3,0/3,neutral,0.0,bearish,0.084,bullish,0.6,,0,168.83
GS,2025-10-21 00:00:00-04:00,bearish,MEDIUM,0.449,2/3,neutral,0.0,bearish,1.0,bearish,0.069,,0,758.98
MA,2025-10-21 00:00:00-04:00,bullish,MEDIUM,0.025,2/3,neutral,0.0,bullish,0.042,bullish,0.018,,0,572.03
SBUX,2025-10-21 00:00:00-04:00,bullish,MEDIUM,0.378,2/3,neutral,0.0,bullish,1.0,bullish,0.079,,0,85.9
