symbol,symbol,avg_volatility,max_volatility,avg_return,return_std,avg_drawdown,max_drawdown,return_range,cluster,risk_label
AAPL,AAPL,0.2604756207702782,0.8180959083301906,0.0009524153309245183,0.018265358841967873,-0.09273694589102363,-0.3336052208070358,0.2457447777178333,0,Low Risk
MSFT,MSFT,0.20984670336551792,0.5466125637146295,0.0008655416317986666,0.014116297608337306,-0.06176603244583384,-0.2372664280989862,0.1631459046437503,0,Low Risk
TSLA,TSLA,0.6157597936601158,1.2025420718566031,0.001982991394202051,0.04097507134108065,-0.24032351279520903,-0.5376568011858521,0.3811619666181965,3,High Risk
JPM,JPM,0.2202788344499224,0.5521627590815511,0.0014502355595652828,0.015314787304007663,-0.03657113476930075,-0.2442392717930555,0.19028370397785438,0,Low Risk
NVDA,NVDA,0.4882718267691626,0.937447137543212,0.003398888947335193,0.03290798014786525,-0.0808567087713744,-0.3688102669914985,0.35690894107936333,2,Medium High Risk
GOOGL,GOOGL,0.28741611332917555,0.5299739004414489,0.001467077355965464,0.01895326132261134,-0.08811383147710139,-0.2980586984940994,0.17724705258666662,0,Low Risk
AMD,AMD,0.49765177511607683,1.1522728726107745,0.0016479540633526483,0.03435244472534861,-0.25768580924551165,-0.5748532494558934,0.3443701776328876,3,High Risk
SNOW,SNOW,0.4789928885386942,1.2383548574469545,0.001022089770589362,0.03344259489951403,-0.24755525867260925,-0.5400000103449417,0.5084515062421402,3,High Risk
COIN,COIN,0.7825110195016625,1.6151363383629953,0.0026050929967223156,0.05125190291159777,-0.22483413398441068,-0.5591932851024979,0.48691112185233393,3,High Risk
META,META,0.33879856044954404,0.7880871073081278,0.0018615594692151858,0.023547001292334988,-0.06428717823788405,-0.3415081492514953,0.30878945034168903,0,Low Risk
BAC,BAC,0.2368357901077889,0.6265765215156068,0.0011479412929110908,0.016057001240069948,-0.0501255561071398,-0.2750937797706699,0.1949215773275591,0,Low Risk
GS,GS,0.2640638443335399,0.7096429192299594,0.0017454413055770252,0.018168449917281605,-0.042789447118100364,-0.3089572644497904,0.2230927106160835,0,Low Risk
MA,MA,0.18149903766824252,0.4805373120433059,0.0007585052807491356,0.012374781216204337,-0.03604260888136773,-0.1672535709355235,0.1525585182256888,0,Low Risk
UNH,UNH,0.34163911281345694,1.0055758134269426,-0.0003881943787331493,0.02496609987566654,-0.2011635473338752,-0.6139087038676742,0.3435801220623524,1,Medium Risk
ABBV,ABBV,0.22840577655200306,0.5584710652705288,0.0011620399958073323,0.01569285803091051,-0.0642959023891354,-0.2073639402976452,0.1892694077782539,0,Low Risk
CVX,CVX,0.20994174396711396,0.555601034008116,0.000294030195303491,0.014025553324163328,-0.07687528164175887,-0.2063972823393856,0.1487017332248086,0,Low Risk
WMT,WMT,0.19589341650528697,0.4877726812227518,0.0016788116304221235,0.013587559482091609,-0.03756683270681749,-0.2192802387993999,0.1607768599676033,0,Low Risk
NKE,NKE,0.33849109091780133,0.8101688148940822,-0.0006348254540396031,0.02333528819972654,-0.2689744143512359,-0.443785573757436,0.3517116873953976,1,Medium Risk
PFE,PFE,0.24442154623799067,0.4246002208644882,5.7908187540159395e-05,0.015668966565057594,-0.12413869256751206,-0.289970635959047,0.1226871785973952,0,Low Risk
PG,PG,0.16318444332096313,0.3275283493534166,0.00023540229343649261,0.01068882632661001,-0.05218088940776336,-0.1638059196720904,0.0915093291589238,0,Low Risk
DIS,DIS,0.2469177549675138,0.6791049452772069,0.0006993400557357022,0.017644400841273517,-0.11660850819175503,-0.3020229038805557,0.2140745424346279,0,Low Risk
SCHW,SCHW,0.24601885128431847,0.5015359640574487,0.0008838873252080476,0.016374756971358966,-0.06492095566921771,-0.214361906267764,0.1778477047661171,0,Low Risk
