source,title,summary,link,published_utc,id
"""stocks"" - Google News",Stocks slip after latest batch of earnings reports; chipmaker drop: Live updates - CNBC,"<ol><li><a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTE94a2wzalh4WEM4cmE2dUNGa3RPcXg2ZFhVTzdEX0NCczVNUmVoSlZvM3hBWXlsNnRER1NfRzlNdnROTVFKTU1ZSjd1RUUtU290UlY4MUgzckxYNFlRYzNPbmdpaDhhNmRtWnFYUnEzal96WDFqVGRv0gF8QVVfeXFMTzhJQVUwWXZabmdLdXA4Z2dNQzN5RlBMTEJLSjI1UUEtb3VIVXdnc1h3eGE3Y3IzMkFORXczV1Jkc2JmQ09YdFVMTmFsLWw3U3RPdHpoZ2VvRzB3ZWxBbTJ4TVZnelF3WnU2NUFyUG40WmpDM1NlNDZSbWE3eg?oc=5"" target=""_blank"">Stocks slip after latest batch of earnings reports; chipmaker drop: Live updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC</font></li><li><a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxOc1U1czZ1TkVieDFRZlBpWVZYS2lxVnVzeE5tLXRrTnpmb0F5aUxQLTV1aEh4ZXFyRlFGTFA0UHoybkE2Q09MSEEyemhVaUdCR3g2SHZuU2pqTVZVbHJFcTNTaWlSXzJKTHNSVVA5ZDhKTVg2WWM1VVJicW52Q2hORndiUjVyMzBIbVI1TEJGRERMU09BNDJud3RyTllsemhGWWVHY0phMzNxOXdFNkJjWDFYeWNQRWF0b3V4bHNNc2VBRGNucGJqa3dR?oc=5"" target=""_blank"">Stock market today: Dow, S&amp;P 500, Nasdaq slide as Netflix sinks, Tesla earnings loom</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font></li><li><a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxNbGl5NjI4eXlXVS1lRXEtUTI3VEVjVklLSldLVEVrQzFfeFJIR0laRnp5UEQ4RDdoSERwSzBVUlVCb1FBdG5pUzRCZUhoLWZJTTNpenk4Y3I4RzFiRkQ5c1BpVHNUR0U5YUZSZl9YbU4wVHRjOVU5T2pQYmNCTTNyWEhnbVAwNk5mZENBNWUweFpCa3MwUkc2Wk1KUjloM2tKU3BuOWtsOTRwSU0yQk0wQ2JmTG1HQTF6Qk1qNHBaeU1RSG05?oc=5"" target=""_blank"">Stock Market Today: Dow Slides As Gold Loses Its Luster; Chip Leader Plummets (Live Coverage)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Investor's Business Daily</font></li></ol>",https://news.google.com/rss/articles/CBMid0FVX3lxTE94a2wzalh4WEM4cmE2dUNGa3RPcXg2ZFhVTzdEX0NCczVNUmVoSlZvM3hBWXlsNnRER1NfRzlNdnROTVFKTU1ZSjd1RUUtU290UlY4MUgzckxYNFlRYzNPbmdpaDhhNmRtWnFYUnEzal96WDFqVGRv0gF8QVVfeXFMTzhJQVUwWXZabmdLdXA4Z2dNQzN5RlBMTEJLSjI1UUEtb3VIVXdnc1h3eGE3Y3IzMkFORXczV1Jkc2JmQ09YdFVMTmFsLWw3U3RPdHpoZ2VvRzB3ZWxBbTJ4TVZnelF3WnU2NUFyUG40WmpDM1NlNDZSbWE3eg?oc=5,2025-10-22 15:36:00+00:00,1227041833f7c022f7d62297790c99342b3b954d3a0891ffe76a8792077a5618
Yahoo Finance,7 costly first-time home buyer mistakes — and how to avoid them,,https://finance.yahoo.com/personal-finance/mortgages/article/first-time-home-buyer-mistakes-153128493.html,2025-10-22 15:31:28+00:00,d0fccb486f9c1d9f7ac2d60c0c54c1dd45676d4285e8e5cdee5f06c7529bb9ba
"""stocks"" - Google News","Earnings live: Netflix stock dives, GE Vernova reverses gains, Hilton rises as Tesla earnings loom - Yahoo Finance","<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxON2JsOFhQRU84SWJUMUpsSFh0MnBaZlZUMjJGUGVmaDZTblhWNzlFcjRfSnRYSGF6alhkcDcxWm9tMGI3UlpwQXdUMmlMNUxraDZNUUhVamFMT3gxQlVuVE8tU2tlbGg0M0JFY0ZtaF9xTWMyd1N1UVFrSGdVTlU3YjZCVEE0a2xUeHhDTnBYQkhoNG1lQ1lSaGM0QWdUMzVNUDdhMDhpQ2hzeXpEX1ViRUJFSnpmWVp5M3laMHRPU0ZLTXNRaHVIa2dkUG1xTVg0TzFBMg?oc=5"" target=""_blank"">Earnings live: Netflix stock dives, GE Vernova reverses gains, Hilton rises as Tesla earnings loom</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",https://news.google.com/rss/articles/CBMi1AFBVV95cUxON2JsOFhQRU84SWJUMUpsSFh0MnBaZlZUMjJGUGVmaDZTblhWNzlFcjRfSnRYSGF6alhkcDcxWm9tMGI3UlpwQXdUMmlMNUxraDZNUUhVamFMT3gxQlVuVE8tU2tlbGg0M0JFY0ZtaF9xTWMyd1N1UVFrSGdVTlU3YjZCVEE0a2xUeHhDTnBYQkhoNG1lQ1lSaGM0QWdUMzVNUDdhMDhpQ2hzeXpEX1ViRUJFSnpmWVp5M3laMHRPU0ZLTXNRaHVIa2dkUG1xTVg0TzFBMg?oc=5,2025-10-22 15:30:58+00:00,95b16a7c836f7563c221767db46080e3be63f7716a80568721b873e0eabbac46
"""stocks"" - Google News",Beyond Meat shares sizzle on Walmart deal and meme stock interest - WTOP,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxNUzNhODNtclVZM3l1Q25qRmxOaG5HMEdNZUZzME9SMkl2S2sxYnVnaWxsWWtpQ0ZjWWZYNV84RlV6Nm1RYTRoX1YtX3JWSVh2WWdHbENQUmJHQURXVW0xc3o3eVpLYkEzMFRweGRYZFdWeEZWQnpvSGxYejU1OXBZMFNJLUoyQ2taakhRQlo2TW1LcHdfallGS1drV2VzYlZmdEpqbUhTWnVQU2Ry?oc=5"" target=""_blank"">Beyond Meat shares sizzle on Walmart deal and meme stock interest</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WTOP</font>",https://news.google.com/rss/articles/CBMirAFBVV95cUxNUzNhODNtclVZM3l1Q25qRmxOaG5HMEdNZUZzME9SMkl2S2sxYnVnaWxsWWtpQ0ZjWWZYNV84RlV6Nm1RYTRoX1YtX3JWSVh2WWdHbENQUmJHQURXVW0xc3o3eVpLYkEzMFRweGRYZFdWeEZWQnpvSGxYejU1OXBZMFNJLUoyQ2taakhRQlo2TW1LcHdfallGS1drV2VzYlZmdEpqbUhTWnVQU2Ry?oc=5,2025-10-22 15:30:32+00:00,7fd8e0c123cc9feeb26fe0f28943fb18665a7159228bc20ea8d2ec203ec7c856
Yahoo Finance,"Bubble Watch: AI Is Changing Everything, But No One Pays For It (MSFT, NVDA)",,https://finance.yahoo.com/news/bubble-watch-ai-changing-everything-152917169.html,2025-10-22 15:29:17+00:00,c2789e4dde31217a6af03cef411572f36565c42468b83f691d43ba264ae5757c
Yahoo Finance,Gold extends Tuesday's tumble; stocks mostly lower as Netflix falls,,https://finance.yahoo.com/news/gold-extends-tuesdays-tumble-stocks-152554501.html,2025-10-22 15:25:54+00:00,8e72fbf1e8da4c5ada35b801bd38beb04dae0469e8c670e2520751cb5df13d3d
"""stocks"" - Google News",Gold extends Tuesday's tumble; stocks mostly lower as Netflix falls - Yahoo,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxPNzZhZ19udFNtSGQwdEdyeHJ3dHpMQTFoZnVGNGgyTGFrXzRycjlPTHZDV2t1T1NMNGlwRWtJN2NhT2VFMnVXR01qSDdVaUxYdmltSFdjd2hjUm45SHgybjIteU5MZ1ppeW9WbEEwZXlmTnA1VFkwRFFSRzBKSUVIS0JSeE0wWWF2UU9Ocw?oc=5"" target=""_blank"">Gold extends Tuesday's tumble; stocks mostly lower as Netflix falls</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo</font>",https://news.google.com/rss/articles/CBMijAFBVV95cUxPNzZhZ19udFNtSGQwdEdyeHJ3dHpMQTFoZnVGNGgyTGFrXzRycjlPTHZDV2t1T1NMNGlwRWtJN2NhT2VFMnVXR01qSDdVaUxYdmltSFdjd2hjUm45SHgybjIteU5MZ1ppeW9WbEEwZXlmTnA1VFkwRFFSRzBKSUVIS0JSeE0wWWF2UU9Ocw?oc=5,2025-10-22 15:25:54+00:00,c43b0195bae438f2cbddfa07a5c9a10e43332f9212fb5a511d177c05dc7abb89
Yahoo Finance,Capital One Earnings Easily Beat. The Stock Is Flashing An Early Entry.,,https://www.investors.com/news/capital-one-stock-earnings-q3-2025/?src=A00220&yptr=yahoo,2025-10-22 15:14:40+00:00,2cdaf4f7f7629b8b5ceaa0639918daa8de1f822ad26ecd402eb5e91754e14ea1
Yahoo Finance,Stock Market Today: Stocks Decline As Earnings Season Picks Up Pace,,https://finance.yahoo.com/news/stock-market-today-stocks-decline-151233569.html,2025-10-22 15:12:33+00:00,db5535a202033a9f0941a7e9c23b1895b5ba5b5bb414bfb8ead024e5a2e6fdd4
"""stocks"" - Google News",Stock Market Today: Stocks Decline As Earnings Season Picks Up Pace - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxQeFZmVlFwSWVpTTRXSEstWGt5eU82a2o1T05JaUxILVd1X0tVX1hJT2FXNXR5clFsTUZMT01oRzdaNUg4WnY0NnpTMWxxQXc0elpMRE5na1d2UmxtVGhsZDkxS3BKZ2JlWk0yb280MGlIc3pUY3RVMFRLNWRrLWRPOWlsT0RqUQ?oc=5"" target=""_blank"">Stock Market Today: Stocks Decline As Earnings Season Picks Up Pace</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",https://news.google.com/rss/articles/CBMihgFBVV95cUxQeFZmVlFwSWVpTTRXSEstWGt5eU82a2o1T05JaUxILVd1X0tVX1hJT2FXNXR5clFsTUZMT01oRzdaNUg4WnY0NnpTMWxxQXc0elpMRE5na1d2UmxtVGhsZDkxS3BKZ2JlWk0yb280MGlIc3pUY3RVMFRLNWRrLWRPOWlsT0RqUQ?oc=5,2025-10-22 15:12:33+00:00,c5c0077f89571792683a22054a3d194ede6647a8cdafa2b62972d25a191e4d76
